"CountryNm","latlong","variable","value"
"SERBIA",NA,"2014-12-01",42
"SINT MAARTEN (DUTCH PART)",NA,"2014-12-01",18
"SOUTH SUDAN",NA,"2014-12-01",8
"TANZANIA, UNITED REPUBLIC OF",NA,"2014-12-01",24
"TIMOR-LESTE",NA,"2014-12-01",2
"TURKS AND CAICOS ISLANDS",NA,"2014-12-01",42
"UNITED KINGDOM",NA,"2014-12-01",15877
"UNITED STATES",NA,"2014-12-01",735
"VENEZUELA, BOLIVARIAN REPUBLIC OF",NA,"2014-12-01",65
"VIET NAM",NA,"2014-12-01",144
"VIRGIN ISLANDS (BRITISH)",NA,"2014-12-01",3867
"VIRGIN ISLANDS (U.S.)",NA,"2014-12-01",2
"WEST BANK AND GAZA",NA,"2014-12-01",27
